tau,n_features,n_unique,top1,top2,own_floor,top1_over_floor,top1_over_top2,factor,channel
59,584,1500,1.0376091003417969,0.7988083362579346,0.6178524494171143,1.6793800871400342,1.2989462593774856,6,Tdew (degC)
14,998,1500,0.6574342846870422,0.6572901010513306,0.5924314916133879,1.1097220421160092,1.0002193607289704,6,rh (%)
14,802,1500,0.6775766611099243,0.5834831595420837,0.6820720553398132,0.9934092091961615,1.1612617262881844,6,VPmax (mbar)
60,603,1500,0.7360972166061401,0.6457280516624451,0.5626268327236176,1.3083222729402553,1.1399492630233998,6,VPact (mbar)
13,942,1500,0.8751662969589233,0.6506767272949219,0.7747736811637878,1.1295766986358335,1.3450093729297476,6,VPdef (mbar)
59,609,1500,0.7727488875389099,0.7390360236167908,0.6044069230556488,1.2785242161558787,1.0456173486065412,6,sh (g/kg)
59,606,1500,0.776728093624115,0.7419798970222473,0.6015625119209289,1.291184337840205,1.0468317224514045,6,H2OC (mmol/mol)
14,745,1500,0.4771711826324463,0.472714900970459,0.5575288981199265,0.8558680711287634,1.0094269963837375,6,rho (g/m**3)
14,1266,1500,0.9146605730056763,0.5191564559936523,0.8483776569366454,1.0781290213468937,1.761820665901263,6,wv (m/s)
14,1288,1500,0.8607136011123657,0.665866494178772,0.6304009974002838,1.3653430192240654,1.292621882369833,6,max. wv (m/s)
18,962,1500,0.6679054498672485,0.6550862193107605,0.7260971397161483,0.9198568804834453,1.0195687684744392,6,wd (deg)
15,15,60,0.9708082675933838,0.6864651441574097,1.0580298960208885,0.9175622269696406,1.4142134904533084,6,rain (mm)
16,17,231,2.1112565994262695,1.8291995525360107,2.422110331058502,0.8716599621222109,1.154196980039282,6,raining (s)
7,360,1493,0.5356423258781433,0.44812220335006714,0.893336609005928,0.599597419917881,1.1953041422045019,6,SWDR (W/m�)
7,364,1499,0.5002570152282715,0.4796830415725708,0.7475738286972046,0.6691740615105112,1.0428907671787853,6,PAR (�mol/m�/s)
6,379,1498,0.4327828884124756,0.39369213581085205,0.6873676300048828,0.6296236097259937,1.0992926935690799,6,max. PAR (�mol/m�/s)
13,901,1500,0.5646638870239258,0.5400775671005249,0.6718078792095183,0.8405139393249401,1.0455236829320567,6,Tlog (degC)
7,894,1500,0.028721634298563004,0.023722056299448013,0.02854132670909166,1.006317421446772,1.210756518575134,6,OT
