class,baseline,horizon,context_len,mae_median,mae_iqr
burgers,persistence,192,64,4.9768947064876556e-05,2.0155514903308358e-05
burgers,tail_linear,192,64,4.0380708300432943e-05,1.6350838624823642e-05
burgers,full_context_linear,192,64,7.320969460226782e-05,2.964310824766947e-05
burgers,context_mean,192,64,8.490472100675106e-05,3.4383023375994526e-05
burgers,ar5_ridge,192,64,0.0007359159816705117,0.0002236643890630583
burgers,persistence,192,32,4.9768947064876556e-05,2.0155514903308358e-05
burgers,tail_linear,192,32,4.0380708300432943e-05,1.6350838624823642e-05
burgers,full_context_linear,192,32,5.182076484462241e-05,2.0982529188325142e-05
burgers,context_mean,192,32,6.517412839457393e-05,2.6393610824015923e-05
burgers,ar5_ridge,192,32,0.001025358305290665,0.00030598959309189233
burgers,persistence,336,512,6.330014730338007e-05,2.540477544243913e-05
burgers,tail_linear,336,512,9.302723751996092e-05,3.732418324924755e-05
burgers,full_context_linear,336,512,0.0050923752523830395,0.0019353779114025162
burgers,context_mean,336,512,0.0025142026133835316,0.001093669910915196
burgers,ar5_ridge,336,512,0.0013719040600125073,0.000506005814426352
burgers,persistence,336,256,6.330014730338007e-05,2.540477544243913e-05
burgers,tail_linear,336,256,9.302723751996092e-05,3.732418324924755e-05
burgers,full_context_linear,336,256,0.0007160071764604678,0.00028712615604461794
burgers,context_mean,336,256,0.0003858276177197695,0.0001547809297335334
burgers,ar5_ridge,336,256,0.0005295846303001871,0.0002711576342699167
burgers,persistence,336,128,6.330014730338007e-05,2.540477544243913e-05
burgers,tail_linear,336,128,9.302723751996092e-05,3.732418324924755e-05
burgers,full_context_linear,336,128,0.00025058798163940684,0.0001005409749914477
burgers,context_mean,336,128,0.00015357640222646296,6.162961290101521e-05
burgers,ar5_ridge,336,128,0.0006811007157366196,0.0001876976536823472
burgers,persistence,336,64,6.330014730338007e-05,2.540477544243913e-05
burgers,tail_linear,336,64,9.302723751996092e-05,3.732418324924755e-05
burgers,full_context_linear,336,64,0.0001472033249822062,5.9067701694001754e-05
burgers,context_mean,336,64,9.820208651944995e-05,3.9410506360582076e-05
burgers,ar5_ridge,336,64,0.0008749368750220093,0.0002766398340091899
burgers,persistence,336,32,6.330014730338007e-05,2.540477544243913e-05
burgers,tail_linear,336,32,9.302723751996092e-05,3.732418324924755e-05
burgers,full_context_linear,336,32,0.00011231972085691704,4.507187881961273e-05
burgers,context_mean,336,32,7.860282494220883e-05,3.1545832825941034e-05
burgers,ar5_ridge,336,32,0.0010924967923959818,0.00017379856493088806
lorenz,persistence,96,512,5.904568789451756,2.342563885798655
lorenz,tail_linear,96,512,18.14567928202237,9.726284425797747
lorenz,full_context_linear,96,512,6.945382111366761,2.6571208688585397
lorenz,context_mean,96,512,6.768651491578746,1.959682586132887
lorenz,ar5_ridge,96,512,8.360712733914411,2.477659368790749
lorenz,persistence,96,256,5.904568789451756,2.342563885798655
lorenz,tail_linear,96,256,18.14567928202237,9.726284425797747
lorenz,full_context_linear,96,256,6.870667068875081,3.4199352442526596
lorenz,context_mean,96,256,7.462090571481559,2.4474107801568747
lorenz,ar5_ridge,96,256,8.059666668916586,2.5031960791798396
lorenz,persistence,96,128,5.904568789451756,2.342563885798655
lorenz,tail_linear,96,128,18.14567928202237,9.726284425797747
lorenz,full_context_linear,96,128,9.411535409318546,4.623246090988744
lorenz,context_mean,96,128,7.403701899786177,3.374314169145033
