tau,n_features,top1,top2,top3,total_pers,own_floor,top1_over_floor,top1_over_top2,top1_over_total,dataset,channel,structured
15,1132,0.3665519952774048,0.34733152389526367,0.3311082720756531,77.37943445146084,0.7314845681190489,0.5011069423104337,1.0553375379423866,0.004737072555206362,ETTh2,MUFL,False
16,1183,0.3322705030441284,0.33054834604263306,0.3231048583984375,78.66798228025436,0.6693730294704437,0.49639063484077806,1.0052100003588378,0.004223706944210367,ETTh2,MULL,False
16,923,0.41190266609191895,0.3707088232040405,0.37003564834594727,85.94801500439644,0.5535499155521392,0.7441111533384772,1.1111218301518684,0.004792462816864929,ETTh2,LUFL,False
12,259,0.8015760183334351,0.8014625310897827,0.8013107776641846,59.77422801591456,0.7969010233879089,1.005866468743698,1.000141600186222,0.013410060571924407,ETTh2,LULL,False
14,744,0.3780144155025482,0.3597294092178345,0.34022051095962524,50.98773181438446,0.515121191740036,0.7338358847665485,1.0508298899566515,0.007413830779503399,ETTh2,OT,False
20,164,0.8016937971115112,0.6326653212308884,0.5733077228069305,8.043456193059683,0.608633929491043,1.317201947288595,1.2671688651304103,0.09967031309292824,Weather,p (mbar),False
59,199,1.2482090592384338,1.160938799381256,0.6801636219024658,20.26697688549757,0.6416155993938446,1.9454156981495745,1.075172145080938,0.06158832006818018,Weather,T (degC),False
61,182,1.2571603655815125,1.1470394730567932,0.7869157791137695,19.726383205503225,0.5836487114429474,2.1539675166479006,1.0960044489412848,0.06372989678263943,Weather,Tpot (K),False
20,248,1.1245495080947876,0.9129015207290649,0.7131566107273102,16.413329735398293,0.5542855978012085,2.0288268584927245,1.231840984552962,0.0685144042204608,Weather,Tdew (degC),False
54,367,2.011960983276367,0.8988057374954224,0.7098322510719299,39.98661155998707,0.5992016732692718,3.357735922696971,2.238482576761048,0.05031586585570187,Weather,rh (%),True
61,217,1.177026629447937,0.9203062653541565,0.9099076390266418,22.04876647889614,0.6075949430465698,1.9371896407599338,1.2789510120253156,0.053382878836987176,Weather,VPmax (mbar),False
20,243,1.490601122379303,0.7771309018135071,0.6656626760959625,15.854959737509489,0.6299560546874999,2.366198580500572,1.918082422022914,0.09401481599810407,Weather,VPact (mbar),False
56,367,2.3017702102661133,1.3627431392669678,1.0794156789779663,30.55827335268259,0.856362211704254,2.6878465429778133,1.6890712152139375,0.07532396165518461,Weather,VPdef (mbar),False
20,253,1.5075427293777466,0.7692876756191254,0.7222854495048523,15.836259853094816,0.623480463027954,2.4179470228406426,1.9596605758235643,0.09519562973596532,Weather,sh (g/kg),False
20,251,1.505355954170227,0.7757234573364258,0.7267780900001526,15.866140391677618,0.5810503125190735,2.5907497539136295,1.9405832580325915,0.09487852224979948,Weather,H2OC (mmol/mol),False
20,215,0.8190808594226837,0.4911723732948303,0.4600355625152588,15.832975432276726,0.5592560946941375,1.4645899565397618,1.6676036844829292,0.05173259207823471,Weather,rho (g/m**3),False
48,1169,0.5623824596405029,0.5157648921012878,0.5064083933830261,105.52145160734653,0.5724020421504974,0.9824955507280316,1.0903853058886763,0.005329555754531993,Weather,wv (m/s),False
45,1203,0.42352163791656494,0.4168052077293396,0.40752995014190674,104.47593152523041,0.5870870172977447,0.7213949984211172,1.016114074542914,0.00405377230653633,Weather,max. wv (m/s),False
48,959,1.1160566806793213,0.9000496864318848,0.6125893592834473,81.59857752919197,0.7480423390865326,1.491969935875805,1.2399945219732975,0.013677403632190168,Weather,wd (deg),False
16,22,0.981848955154419,0.981848955154419,0.981848955154419,21.600677013397217,2.1873800992965693,0.4488698399835345,1.0,0.045454545454545456,Weather,rain (mm),False
28,27,1.8887791633605957,1.812295913696289,1.7081284523010254,17.85094392299652,1.9200511932373039,0.9837129187040154,1.0422024069503717,0.10580836349653037,Weather,raining (s),False
31,282,0.6195501089096069,0.5425835847854614,0.4440329670906067,16.01793532818556,0.8455090165138245,0.7327539941136476,1.1418519215884098,0.03867852480459395,Weather,SWDR (W/m�),False
30,318,0.49040794372558594,0.4235609173774719,0.3728129267692566,17.439528102055192,0.8326906979084014,0.5889437037755072,1.1578215165884647,0.028120482438271536,Weather,PAR (�mol/m�/s),False
30,278,0.3441355228424072,0.3314158022403717,0.315145879983902,16.722978634759784,0.8738527417182922,0.39381409065069656,1.0383799460256578,0.02057860207553572,Weather,max. PAR (�mol/m�/s),False
60,167,1.0144481658935547,0.9430010318756104,0.9113961458206177,27.189818136394024,0.5119660377502442,1.9814755102728898,1.0757657007817238,0.03730985477007288,Weather,Tlog (degC),False
55,555,0.6156299114227295,0.6071456074714661,0.5746648907661438,48.4120667129755,0.5868941903114319,1.0489623540080524,1.0139740843824883,0.012716455900812164,Weather,OT,False
